"","gameid","home","homescore","away","awayscore","date"
"1",201811061,"Kansas",92,"Michigan State",87,"11/6/2018"
"2",20181106388,"Kansas",84,"Vermont",68,"11/12/2018"
"3",20181106577,"Kansas",89,"Louisiana",76,"11/16/2018"
"4",20181106901,"Kansas",77,"Marquette",68,"11/21/2018"
"5",20181106981,"Kansas",87,"Tennessee",81,"11/23/2018"
"6",2.02e+11,"Kansas",90,"Stanford",84,"12/1/2018"
"7",2.02e+11,"Kansas",72,"Wofford",47,"12/4/2018"
"8",2.02e+11,"Kansas",63,"New Mexico State",60,"12/8/2018"
"9",2.02e+11,"Kansas",74,"Villanova",71,"12/15/2018"
"10",2.02e+11,"Kansas",89,"South Dakota",53,"12/18/2018"
"11",2.02e+11,"Kansas",87,"Eastern Michigan",63,"12/29/2018"
"12",2.02e+11,"Kansas",70,"Oklahoma",63,"1/2/2019"
"13",2.02e+11,"Kansas",77,"Texas Christian",68,"1/9/2019"
"14",2.02e+11,"Kansas",80,"Texas",78,"1/14/2019"
"15",2.02e+11,"Kansas",80,"Iowa State",76,"1/21/2019"
"16",2.02e+11,"Kansas",79,"Texas Tech",63,"2/2/2019"
"17",2.02e+11,"Kansas",84,"Oklahoma State",72,"2/9/2019"
"18",2.02e+11,"Kansas",78,"West Virginia",53,"2/16/2019"
"19",2.02e+11,"Kansas",64,"Kansas State",49,"2/25/2019"
"20",2.02e+11,"Kansas",78,"Baylor",70,"3/9/2019"
"21",2.02e+11,"Kansas",65,"Texas",57,"3/14/2019"
"22",2.02e+11,"Kansas",88,"West Virginia",74,"3/15/2019"
"23",2.02e+11,"Kansas",66,"Iowa State",78,"3/16/2019"
201811061,Kansas,92,Michigan State,87,11/6/2018
20181106388,Kansas,84,Vermont,68,11/12/2018
20181106577,Kansas,89,Louisiana,76,11/16/2018
20181106901,Kansas,77,Marquette,68,11/21/2018
20181106981,Kansas,87,Tennessee,81,11/23/2018
202000000000,Kansas,90,Stanford,84,12/1/2018
202000000000,Kansas,72,Wofford,47,12/4/2018
202000000000,Kansas,63,New Mexico State,60,12/8/2018
202000000000,Kansas,74,Villanova,71,12/15/2018
202000000000,Kansas,89,South Dakota,53,12/18/2018
202000000000,Kansas,87,Eastern Michigan,63,12/29/2018
202000000000,Kansas,70,Oklahoma,63,1/2/2019
202000000000,Kansas,77,Texas Christian,68,1/9/2019
202000000000,Kansas,80,Texas,78,1/14/2019
202000000000,Kansas,80,Iowa State,76,1/21/2019
202000000000,Kansas,79,Texas Tech,63,2/2/2019
202000000000,Kansas,84,Oklahoma State,72,2/9/2019
202000000000,Kansas,78,West Virginia,53,2/16/2019
202000000000,Kansas,64,Kansas State,49,2/25/2019
202000000000,Kansas,78,Baylor,70,3/9/2019
202000000000,Kansas,65,Texas,57,3/14/2019
202000000000,Kansas,88,West Virginia,74,3/15/2019
202000000000,Kansas,66,Iowa State,78,3/16/2019
